plant,strategy,metric,col,score,pvalue,drifted
planta1,seasonal,psi,Conductividad DAF,8.7133089083019,,1
planta1,seasonal,wasserstein,Conductividad DAF,0.9049184735153354,,0
planta1,seasonal,ks,Flujo Parshall 01 entrada a Ecualizador 1,0.13019203201997484,8.229220427386623e-27,1
planta1,seasonal,mannwhitney,Flujo Parshall 01 entrada a Ecualizador 1,0.5840270654734458,9.195556720456818e-35,1
planta1,seasonal,psi,Flujo Parshall 01 entrada a Ecualizador 1,0.06951411554447946,,0
planta1,seasonal,wasserstein,Flujo Parshall 01 entrada a Ecualizador 1,0.6699419767194081,,0
planta1,seasonal,ks,Flujo de envío a DAF,0.2095286714909928,3.7528915515726955e-69,1
planta1,seasonal,mannwhitney,Flujo de envío a DAF,0.39234385243459086,3.1085229867907454e-56,1
planta1,seasonal,psi,Flujo de envío a DAF,0.03215337144885304,,0
planta1,seasonal,wasserstein,Flujo de envío a DAF,1.3622470122828365,,0
planta1,seasonal,ks,Nivel Ecualizador 1 (Tk 30m3),0.5092353850834846,0.0,1
planta1,seasonal,mannwhitney,Nivel Ecualizador 1 (Tk 30m3),0.2894508251228823,8.954702793120862e-213,1
planta1,seasonal,psi,Nivel Ecualizador 1 (Tk 30m3),8.394982233177446,,1
planta1,seasonal,wasserstein,Nivel Ecualizador 1 (Tk 30m3),6.231840336030606,,0
planta1,seasonal,ks,Nivel Ecualizador 2 (Tk 250m3),0.21657726920555456,7.45218193988058e-74,1
planta1,seasonal,mannwhitney,Nivel Ecualizador 2 (Tk 250m3),0.6266322486441385,1.0848898954902365e-76,1
planta1,seasonal,psi,Nivel Ecualizador 2 (Tk 250m3),0.8505018564645388,,1
planta1,seasonal,wasserstein,Nivel Ecualizador 2 (Tk 250m3),3.2843249800158483,,0
planta1,seasonal,ks,Temperatura DAF,0.0,1.0,0
planta1,seasonal,mannwhitney,Temperatura DAF,0.5,1.0,0
planta1,seasonal,psi,Temperatura DAF,,,0
planta1,seasonal,wasserstein,Temperatura DAF,0.0,,0
planta1,seasonal,ks,pH Clarificado DAF (Tk 80m3),0.6833700333436846,0.0,1
planta1,seasonal,mannwhitney,pH Clarificado DAF (Tk 80m3),0.7826952393499393,0.0,1
planta1,seasonal,psi,pH Clarificado DAF (Tk 80m3),12.663805034845591,,1
planta1,seasonal,wasserstein,pH Clarificado DAF (Tk 80m3),0.7749983438162827,,0
planta1,seasonal,ks,pH Ecualizador 2 (Tk 250m3),,,0
planta1,seasonal,psi,pH Ecualizador 2 (Tk 250m3),,,0
planta1,seasonal,wasserstein,pH Ecualizador 2 (Tk 250m3),,,0
planta1,seasonal,ks,pH coagulación entrada DAF,0.9509803921568627,0.0,1
planta1,seasonal,mannwhitney,pH coagulación entrada DAF,0.9538178205212656,0.0,1
planta1,seasonal,psi,pH coagulación entrada DAF,4.047225144182336,,1
planta1,seasonal,wasserstein,pH coagulación entrada DAF,0.8112756657907192,,0
planta1,seasonal,ks,pH entrada a Ecualizador 2 (Tk 250m3),0.5314603781042092,0.0,1
planta1,seasonal,mannwhitney,pH entrada a Ecualizador 2 (Tk 250m3),0.19752686628962896,0.0,1
planta1,seasonal,psi,pH entrada a Ecualizador 2 (Tk 250m3),1.5030238990528881,,1
planta1,seasonal,wasserstein,pH entrada a Ecualizador 2 (Tk 250m3),0.09119007727679086,,0
planta1,seasonal,ks,pH salida a Parshall 02,0.6006803617303584,0.0,1
planta1,seasonal,mannwhitney,pH salida a Parshall 02,0.8269573338854018,0.0,1
planta1,seasonal,psi,pH salida a Parshall 02,1.9146825447937588,,1
planta1,seasonal,wasserstein,pH salida a Parshall 02,2.32058710269356,,0
planta1,seasonal,ks,Nivel Clarificado DAF (Tk 80m3),0.6448179271708684,0.0,1
planta1,seasonal,mannwhitney,Nivel Clarificado DAF (Tk 80m3),0.6448390218349378,9.011464594339675e-100,1
planta1,seasonal,psi,Nivel Clarificado DAF (Tk 80m3),18.63609486080075,,1
planta1,seasonal,wasserstein,Nivel Clarificado DAF (Tk 80m3),21.776485487678734,,0
planta1,seasonal,ks,pH entrada a Ecualizador 1,0.0,1.0,0
planta1,seasonal,mannwhitney,pH entrada a Ecualizador 1,0.5,1.0,0
planta1,seasonal,psi,pH entrada a Ecualizador 1,,,0
planta1,seasonal,wasserstein,pH entrada a Ecualizador 1,0.0,,0
planta1,seasonal,ks,Turbidez salida DAF,0.4204502181611726,1.784155758183117e-283,1
planta1,seasonal,mannwhitney,Turbidez salida DAF,0.33160804075269523,2.1661631084193702e-134,1
planta1,seasonal,psi,Turbidez salida DAF,0.07801476638668095,,0
planta1,seasonal,wasserstein,Turbidez salida DAF,378.07166526155976,,0
planta1,seasonal,ks,pH salida y control Ecualizador 1,0.6955842359340153,0.0,1
planta1,seasonal,mannwhitney,pH salida y control Ecualizador 1,0.05994276209924059,0.0,1
planta1,seasonal,psi,pH salida y control Ecualizador 1,6.579200715162378,,1
planta1,seasonal,wasserstein,pH salida y control Ecualizador 1,0.25467195179240376,,0
