timestamp,variable,valor,etiqueta
2024-11-09T06:52:00Z,Nivel Pozo WAS,4.391,outlier
2024-11-09T06:53:00Z,Nivel Pozo WAS,4.378,outlier
2024-11-09T06:56:00Z,Nivel Pozo WAS,4.376,outlier
2024-11-09T06:57:00Z,Nivel Pozo WAS,4.372,outlier
2024-11-09T06:58:00Z,Nivel Pozo WAS,4.364,outlier
2024-11-09T06:59:00Z,Nivel Pozo WAS,4.388,outlier
2024-11-09T07:00:00Z,Nivel Pozo WAS,4.409,outlier
2024-11-09T07:01:00Z,Nivel Pozo WAS,4.388,outlier
2024-11-09T07:02:00Z,Nivel Pozo WAS,4.362,outlier
2024-11-09T07:03:00Z,Nivel Pozo WAS,4.372,outlier
2024-11-09T07:04:00Z,Nivel Pozo WAS,4.368,outlier
2024-11-09T07:05:00Z,Nivel Pozo WAS,4.384,outlier
2024-11-09T07:08:00Z,Nivel Pozo WAS,4.38,outlier
2024-11-09T07:09:00Z,Nivel Pozo WAS,4.403,outlier
2024-11-09T07:10:00Z,Nivel Pozo WAS,4.378,outlier
2024-11-09T07:11:00Z,Nivel Pozo WAS,4.378,outlier
2024-11-09T07:13:00Z,Nivel Pozo WAS,4.388,outlier
2024-11-09T07:14:00Z,Nivel Pozo WAS,4.409,outlier
2024-11-09T07:15:00Z,Nivel Pozo WAS,4.376,outlier
2024-11-09T07:16:00Z,Nivel Pozo WAS,4.364,outlier
2024-11-09T07:17:00Z,Nivel Pozo WAS,4.368,outlier
2024-11-09T07:18:00Z,Nivel Pozo WAS,4.362,outlier
2024-11-09T07:19:00Z,Nivel Pozo WAS,4.393,outlier
2024-11-09T07:20:00Z,Nivel Pozo WAS,4.399,outlier
2024-11-09T07:21:00Z,Nivel Pozo WAS,4.362,outlier
2024-11-09T07:22:00Z,Nivel Pozo WAS,4.399,outlier
2024-11-09T07:23:00Z,Nivel Pozo WAS,4.376,outlier
2024-11-09T07:24:00Z,Nivel Pozo WAS,4.391,outlier
2024-11-09T07:25:00Z,Nivel Pozo WAS,4.382,outlier
2024-11-09T07:26:00Z,Nivel Pozo WAS,4.391,outlier
2024-11-09T07:27:00Z,Nivel Pozo WAS,4.403,outlier
2024-11-09T07:28:00Z,Nivel Pozo WAS,4.362,outlier
2024-11-09T07:29:00Z,Nivel Pozo WAS,4.378,outlier
2024-11-09T07:30:00Z,Nivel Pozo WAS,4.391,outlier
2024-11-09T07:31:00Z,Nivel Pozo WAS,4.405,outlier
2024-11-09T07:32:00Z,Nivel Pozo WAS,4.378,outlier
2024-11-09T07:33:00Z,Nivel Pozo WAS,4.37,outlier
2024-11-09T07:34:00Z,Nivel Pozo WAS,4.384,outlier
2024-11-09T07:35:00Z,Nivel Pozo WAS,4.364,outlier
