timestamp,Flujo Aire Reactor 1,Flujo Aire Reactor 3,OD Reactor 1,OD Reactor 2,test
2024-12-05T05:54:00-04:00,226.0,89.0,,,
2024-12-05T05:55:00-04:00,,,,,
2024-12-05T05:56:00-04:00,195.0,36.0,,,
2024-12-05T05:57:00-04:00,196.0,85.0,,,
2024-12-05T05:58:00-04:00,175.0,26.0,,,
2024-12-05T05:59:00-04:00,146.0,3.0,,,
2024-12-05T06:00:00-04:00,160.0,3.0,,,
2024-12-05T06:01:00-04:00,,,,,
2024-12-05T06:02:00-04:00,100.0,1.0,,,
2024-12-05T06:03:00-04:00,126.0,62.0,,,
2024-12-05T06:04:00-04:00,90.0,0.0,,,
2024-12-05T06:05:00-04:00,129.0,26.0,,,
2024-12-05T06:06:00-04:00,113.0,62.0,,,
2024-12-05T06:07:00-04:00,143.0,111.0,,,
2024-12-05T06:08:00-04:00,122.0,117.0,,,
2024-12-05T06:09:00-04:00,117.0,127.0,,,
2024-12-05T06:10:00-04:00,97.0,84.0,,,
2024-12-05T06:11:00-04:00,158.0,83.0,,,
2024-12-05T06:12:00-04:00,77.0,85.0,,,
2024-12-05T06:13:00-04:00,86.0,89.0,,,
2024-12-05T06:14:00-04:00,40.0,76.0,,,
2024-12-05T06:15:00-04:00,,,,,
2024-12-05T06:16:00-04:00,63.0,73.0,,,
2024-12-05T06:17:00-04:00,46.0,106.0,,,
2024-12-05T06:18:00-04:00,66.0,52.0,,,
2024-12-05T06:19:00-04:00,64.0,68.0,,,
2024-12-05T06:20:00-04:00,127.0,76.0,,,
2024-12-05T06:21:00-04:00,73.0,0.0,,,
2024-12-05T06:22:00-04:00,42.0,1.0,,,
2024-12-05T06:23:00-04:00,265.0,141.0,,,
2024-12-05T06:24:00-04:00,7898.0,5756.0,,,
2024-12-05T06:25:00-04:00,,8701.0,,,
2024-12-05T06:26:00-04:00,,8809.0,,,
2024-12-05T06:27:00-04:00,,8631.0,,,
2024-12-05T06:28:00-04:00,,,,,
2024-12-05T06:29:00-04:00,,8706.0,,,
