plant,strategy,metric,col,type,score,threshold,method,drift_detected,ref_count,cur_count,ref_missing_pct,cur_missing_pct,ref_mean,cur_mean
planta2,seasonal,psi,Flujo Alimentación Digestor 2,numeric,0.1651529591475076,0.2,psi,False,,,,,,
planta2,seasonal,psi,Flujo Alimentación Digestor 3,numeric,0.2433406011166543,0.2,psi,True,,,,,,
planta2,seasonal,psi,Flujo Cámara de contacto 1,numeric,3.4651706885310407,0.2,psi,True,,,,,,
planta2,seasonal,psi,Flujo Cámara de contacto 2,numeric,2.993676281389289,0.2,psi,True,,,,,,
planta2,seasonal,psi,Flujo Salida de Lodo Sedimentador Secundario 3,numeric,11.708688239047715,0.2,psi,True,,,,,,
planta2,seasonal,psi,Nivel Pozo WAS,numeric,5.894247516209219,0.2,psi,True,,,,,,
planta2,seasonal,psi,OD Reactor 1,numeric,0.1123487692515351,0.2,psi,False,,,,,,
planta2,seasonal,wasserstein,Flujo Afluente PTAR,numeric,483.6373879885589,440.5916107261406,wasserstein,True,,,,,,
planta2,seasonal,wasserstein,Flujo Aire Reactor 2,numeric,533.4771642375473,43.51897729455707,wasserstein,True,,,,,,
planta2,seasonal,wasserstein,Flujo Aire Reactor 3,numeric,174.80098730072132,1175.4593439414894,wasserstein,False,,,,,,
planta2,seasonal,wasserstein,Flujo Alimentación Digestor 1,numeric,1.1718323137958797,3.324276721893232,wasserstein,False,,,,,,
planta2,seasonal,wasserstein,Flujo Alimentación Digestor 2,numeric,0.0039364803614823,0.0043228413042147,wasserstein,False,,,,,,
planta2,seasonal,wasserstein,Flujo Alimentación Digestor 3,numeric,0.4122871253206405,3.280115118660848,wasserstein,False,,,,,,
planta2,seasonal,wasserstein,Flujo Cámara de contacto 1,numeric,252.03674799886892,232.6479045485061,wasserstein,True,,,,,,
planta2,seasonal,wasserstein,Flujo Cámara de contacto 2,numeric,240.9593543082837,244.4828567956449,wasserstein,False,,,,,,
planta2,seasonal,wasserstein,Flujo Salida de Lodo Sedimentador Secundario 3,numeric,19.620790121972878,6.493300374742781,wasserstein,True,,,,,,
planta2,seasonal,wasserstein,Nivel Pozo WAS,numeric,0.6965011162255766,0.3933014598413865,wasserstein,True,,,,,,
planta2,seasonal,wasserstein,OD Reactor 1,numeric,0.5775193798449613,1.9159205708971676,wasserstein,False,,,,,,
